TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,MerchantID,Channel,LoginAttempts,TransactionDuration,AccountBalance,CustomerAge,CustomerOccupation,withdrawal_ratio,transaction_hour,fraud_gmm,isolation_fraud,fraud_either,fraud_both
TX001313,AC00001,47.79,2023-09-15 17:00:20,Debit,Denver,D000649,M034,Branch,1,37,1649.92,25,Student,0.028965040729247476,17,0,0,0,0
TX002017,AC00001,212.97,2023-11-14 16:56:34,Debit,Atlanta,D000492,M003,Online,1,178,4180.4,59,Engineer,0.050944885656874946,16,0,0,0,0
TX002121,AC00002,476.99,2023-01-10 16:00:32,Debit,San Diego,D000594,M022,Online,1,187,1154.48,23,Student,0.41316436837364007,16,0,0,0,0
TX000021,AC00002,59.32,2023-02-28 16:36:58,Debit,Los Angeles,D000152,M040,Branch,1,38,5750.89,71,Retired,0.010314925168104415,16,0,0,0,0
TX001477,AC00002,12.62,2023-05-05 16:35:44,Debit,El Paso,D000475,M068,Branch,1,61,6420.47,33,Doctor,0.0019655881890266597,16,0,0,0,0
TX000062,AC00002,263.99,2023-05-16 16:07:30,Debit,Dallas,D000285,M087,Branch,2,227,4175.02,79,Retired,0.06323083482234815,16,0,1,1,0
TX001599,AC00002,395.16,2023-07-24 16:14:05,Debit,Milwaukee,D000269,M059,Online,1,17,5340.73,56,Retired,0.07398988527785529,16,0,0,0,0
TX001674,AC00002,331.66,2023-09-11 17:52:59,Debit,Las Vegas,D000041,M040,ATM,1,145,7216.3,76,Retired,0.04595984091570473,17,0,0,0,0
TX001029,AC00002,516.47,2023-12-21 17:00:50,Credit,Charlotte,D000420,M026,ATM,1,94,1305.06,25,Student,0.39574425696902826,17,0,0,0,0
TX002326,AC00003,20.17,2023-01-02 16:45:05,Debit,San Antonio,D000287,M088,ATM,1,86,3869.37,77,Retired,0.005212734889659041,16,0,0,0,0
TX001841,AC00003,237.97,2023-01-09 17:26:46,Debit,Columbus,D000498,M089,ATM,1,69,13486.15,69,Doctor,0.017645510393996804,17,0,0,0,0
TX002363,AC00003,416.62,2023-03-06 17:26:59,Credit,Baltimore,D000495,M091,Online,1,67,9700.9,26,Student,0.04294653073426177,17,0,0,0,0
TX001904,AC00003,384.11,2023-05-15 16:35:43,Debit,Fort Worth,D000290,M032,ATM,1,12,7902.52,58,Retired,0.04860601428405116,16,0,0,0,0
TX002248,AC00003,207.47,2023-10-02 18:57:19,Debit,Miami,D000643,M045,ATM,1,12,1688.9,53,Doctor,0.12284327076795547,18,0,0,0,0
TX001851,AC00004,13.16,2023-05-01 17:36:10,Debit,Mesa,D000098,M084,Branch,1,98,1019.46,43,Engineer,0.012908794852176643,17,0,0,0,0
TX000707,AC00004,642.54,2023-05-10 18:49:20,Debit,Milwaukee,D000663,M025,Branch,1,28,3143.17,44,Engineer,0.204424195955039,18,0,0,0,0
TX001648,AC00004,99.25,2023-06-26 16:53:58,Credit,Phoenix,D000524,M048,Online,1,93,2570.34,63,Retired,0.0386135686329435,16,0,0,0,0
TX000223,AC00004,547.87,2023-07-10 17:15:27,Debit,Columbus,D000183,M064,ATM,1,131,6155.76,64,Retired,0.08900119562815964,17,0,0,0,0
TX002442,AC00004,61.62,2023-10-09 16:01:25,Debit,Miami,D000134,M066,Online,1,19,8365.37,57,Doctor,0.00736608183499355,16,0,0,0,0
TX002391,AC00004,136.31,2023-10-30 16:38:14,Debit,Nashville,D000405,M055,Online,1,65,4384.95,74,Retired,0.03108587327107493,16,0,0,0,0
TX001820,AC00004,365.43,2023-11-23 16:51:06,Debit,Portland,D000146,M014,ATM,1,176,1073.51,25,Student,0.340406703244497,16,0,0,0,0
TX002328,AC00004,273.24,2023-12-12 16:56:18,Debit,Fresno,D000626,M011,Branch,1,173,2202.21,51,Retired,0.12407536066042749,16,0,0,0,0
TX000245,AC00004,40.66,2024-01-01 16:08:49,Debit,Louisville,D000214,M061,Branch,1,156,1153.84,59,Retired,0.03523885460722457,16,0,0,0,0
TX002315,AC00005,162.59,2023-02-22 16:18:32,Debit,Indianapolis,D000401,M098,Branch,1,19,7104.83,64,Retired,0.022884432139826008,16,0,0,0,0
TX000944,AC00005,377.92,2023-02-22 17:29:36,Debit,Raleigh,D000360,M029,Branch,1,204,2254.71,33,Engineer,0.16761357336420205,17,0,0,0,0
TX001792,AC00005,680.76,2023-02-27 16:38:41,Debit,Kansas City,D000035,M011,Branch,1,165,572.97,21,Student,1.1881250327242263,16,0,0,0,0
TX000547,AC00005,420.28,2023-05-17 17:28:25,Debit,Washington,D000677,M002,Branch,1,144,8557.32,35,Doctor,0.049113507500011686,17,0,0,0,0
TX000760,AC00005,417.8,2023-06-26 16:21:14,Credit,Philadelphia,D000630,M066,Branch,1,130,1518.82,27,Student,0.2750819715305303,16,0,0,0,0
TX000195,AC00005,488.54,2023-07-03 17:47:49,Debit,Jacksonville,D000466,M036,Branch,1,132,7486.63,52,Engineer,0.06525499457032069,17,0,0,0,0
TX001971,AC00005,116.89,2023-11-20 16:31:15,Debit,Columbus,D000328,M064,Online,1,226,4880.31,71,Retired,0.023951347352934544,16,0,0,0,0
TX002083,AC00005,359.51,2023-11-30 18:08:39,Debit,Charlotte,D000144,M010,Online,1,157,7153.72,79,Retired,0.05025497223822011,18,0,0,0,0
TX001038,AC00005,107.48,2023-12-04 18:01:53,Debit,Omaha,D000221,M080,Branch,1,129,591.23,22,Student,0.18179050454137985,18,0,0,0,0
TX000662,AC00006,158.56,2023-02-28 17:28:13,Debit,Sacramento,D000027,M087,ATM,1,100,5401.21,33,Doctor,0.029356384958185294,17,0,0,0,0
TX000216,AC00006,74.88,2023-05-24 16:25:50,Debit,Atlanta,D000139,M026,ATM,1,202,420.67,25,Student,0.17800175909858082,16,0,0,0,0
TX001406,AC00006,611.15,2023-08-11 17:12:30,Debit,Detroit,D000044,M009,ATM,1,121,892.83,27,Student,0.6845088090677957,17,0,0,0,0
TX001977,AC00006,173.13,2023-10-05 16:46:31,Credit,Atlanta,D000485,M044,Online,1,288,1490.34,20,Student,0.11616812271025403,16,0,0,0,0
TX000077,AC00007,162.63,2023-06-12 17:53:52,Debit,Kansas City,D000070,M060,Online,1,113,634.17,22,Student,0.25644543261270636,17,0,0,0,0
TX000839,AC00007,637.75,2023-07-24 16:07:05,Debit,Dallas,D000561,M028,Branch,1,152,4202.92,79,Retired,0.1517397428454503,16,0,0,0,0
TX000977,AC00007,466.64,2023-09-04 16:57:31,Debit,Las Vegas,D000327,M082,ATM,1,11,10915.11,58,Doctor,0.04275174505799758,16,0,0,0,0
TX001336,AC00007,90.88,2023-11-20 17:08:33,Debit,Colorado Springs,D000086,M071,ATM,1,284,7117.35,26,Engineer,0.012768797375427651,17,0,0,0,0
TX001579,AC00007,137.48,2023-11-27 17:34:33,Debit,Seattle,D000206,M058,Branch,1,47,14273.42,55,Doctor,0.009631889203848831,17,0,0,0,0
TX002005,AC00008,76.16,2023-11-21 16:45:29,Debit,San Francisco,D000539,M060,ATM,1,99,1072.25,23,Student,0.07102821170435998,16,0,0,0,0
TX002512,AC00009,243.08,2023-02-14 16:21:23,Credit,Jacksonville,D000215,M041,Online,1,93,131.25,24,Student,1.8520380952380953,16,0,1,1,0
TX002048,AC00009,425.18,2023-02-20 16:16:39,Credit,Fresno,D000270,M057,Online,1,135,5790.55,59,Engineer,0.07342653115852553,16,0,0,0,0
TX000868,AC00009,87.38,2023-03-03 18:23:29,Debit,Atlanta,D000356,M054,Branch,1,252,1504.99,21,Student,0.058060186446421566,18,0,0,0,0
TX000840,AC00009,153.59,2023-05-04 17:43:59,Credit,Portland,D000270,M001,Branch,1,174,4813.12,66,Retired,0.03191069410278572,17,0,0,0,0
TX000279,AC00009,74.85,2023-12-25 17:19:08,Debit,Raleigh,D000526,M091,ATM,1,117,2409.73,72,Retired,0.03106157121337245,17,0,0,0,0
TX002367,AC00010,281.91,2023-01-12 17:10:03,Debit,Denver,D000312,M069,Branch,1,269,225.53,25,Student,1.249988915000222,17,0,1,1,0
TX001737,AC00010,7.56,2023-02-06 16:38:45,Debit,Milwaukee,D000358,M070,ATM,1,145,8528.72,40,Doctor,0.0008864167190387304,16,0,0,0,0
TX001760,AC00010,1086.6,2023-05-22 17:40:46,Debit,San Diego,D000428,M016,Online,1,38,1605.67,19,Student,0.676726849228048,17,0,0,0,0
TX001168,AC00010,838.57,2023-06-26 16:08:25,Debit,Phoenix,D000430,M040,ATM,1,273,14576.47,41,Doctor,0.05752901765653825,16,0,0,0,0
TX000096,AC00010,508.68,2023-06-26 16:16:50,Credit,Mesa,D000622,M048,Branch,1,127,7708.41,51,Engineer,0.0659902625833343,16,0,0,0,0
TX000180,AC00010,34.17,2023-11-21 16:57:43,Credit,Philadelphia,D000036,M091,Online,1,54,726.55,54,Engineer,0.0470304865460051,16,0,0,0,0
TX000202,AC00010,11.18,2023-11-30 16:52:42,Debit,Atlanta,D000129,M017,Online,1,161,5956.89,43,Doctor,0.0018768182726221232,16,0,0,0,0
TX000694,AC00011,733.29,2023-03-15 18:42:16,Debit,Virginia Beach,D000618,M032,ATM,5,94,10427.0,52,Doctor,0.07032607653208017,18,0,1,1,0
TX000735,AC00011,117.55,2023-05-19 16:35:07,Debit,Fresno,D000088,M046,ATM,1,35,897.94,24,Student,0.13091075127514087,16,0,0,0,0
TX001015,AC00011,688.36,2023-06-30 16:31:49,Credit,Memphis,D000235,M007,Branch,1,22,5191.13,23,Student,0.1326031133876439,16,0,0,0,0
TX000098,AC00011,25.36,2023-07-17 17:08:24,Debit,Louisville,D000192,M007,ATM,1,78,201.04,57,Engineer,0.12614405093513728,17,0,0,0,0
TX000045,AC00011,304.31,2023-07-26 16:52:28,Debit,Louisville,D000685,M005,Branch,1,33,868.61,27,Student,0.3503413499729453,16,0,0,0,0
TX002023,AC00011,537.86,2023-09-19 16:44:21,Debit,Kansas City,D000159,M001,Online,1,134,293.06,27,Student,1.8353238244728043,16,0,1,1,0
